file_name,evaluator,audio_quality,emotion_recognized
1612877880295.wav,9a821aa060f7a916bbd7d378ae15cecc3800e46d092969e6a2f48e92306c597f,good,anger
1612877880295.wav,f4d0c9178a221556efe45a4ea3d2bb77b470626409af7fcda37b7af43fd4d8cd,good,disgust
1612877880295.wav,0bf9acd7b844c6febaf385821a2dfe6844dd0f82bd2554c147f5dfcad93a38f4,good,disgust
1612877880295.wav,0b6e7476a8c8b771b842c463440cdceaf2e0cb0d9019489ce1780d28082d3ac9,good,anger
1612877880295.wav,069eaa73dc5935c79d00dc710de06169e20fda2eb302c673c03cda2f4ff0c515,good,anger
1612872848291.wav,9a821aa060f7a916bbd7d378ae15cecc3800e46d092969e6a2f48e92306c597f,good,neutrality
1612872848291.wav,51ff031549a0a4f0e55770419348d08448619eee2ae96f51de3403a0a350931f,good,anger
1612872848291.wav,01e350f0fba0babeb83ac84a4f5f5e22aada0f78dfd1804fa3de1985568fb6e1,good,joy
1612872848291.wav,1fd9b3ed8af4177fb09ec3efa8be5366496647bfbc77df248fb5f652b4922c42,good,joy
1612872848291.wav,8a2539e2b69d9daf9d58dd63ee74ddfc4ef984015881f541b940755c92d0747f,good,joy
1612872587412.wav,9a821aa060f7a916bbd7d378ae15cecc3800e46d092969e6a2f48e92306c597f,good,sadness
1612872587412.wav,514b4a07a485c78cebdd1d6740a437e5a2e1612336038389d6ef10ed555f99d4,good,sadness
1612872587412.wav,73a9ac955fd84cd13e8d3cd832befc7b75ffcea9b30b9ed23f45cc5c5ba156df,good,sadness
1612872587412.wav,00a0efc0faaeb5a288481a25b5d0b7d4c0b070120c6d61be6ef7b255fcdfd17f,good,sadness
1612872587412.wav,071ad389ee3249379958d71c0a9e644aa4983841b22e397e52476d85b5433d49,good,sadness
1612883574499.wav,69ebf61749fd4161ca08d84e51d1e4a0add76fed76c6c96997cb762ceef4c04f,good,joy
1612883574499.wav,f4d0c9178a221556efe45a4ea3d2bb77b470626409af7fcda37b7af43fd4d8cd,good,joy
1612883574499.wav,f78d765ec69ed2306cf544ae70b352f27ac00ced795ad5a4014e480d6f653395,good,joy
1612883574499.wav,b2bf7455e63d99ee9db25bd7d20fbc7f4af1687f68286bba3ab68c223204d21a,good,joy
1612883574499.wav,ee930b433f8db3cf60d38883a62f232bf4dd1e15264f3a0cb7377c9cd3d04c2e,good,joy
1612879392418.wav,69ebf61749fd4161ca08d84e51d1e4a0add76fed76c6c96997cb762ceef4c04f,good,sadness
1612879392418.wav,3f9b6ed1d2adc407ef668b8c89a89fe022f2233d94ce943294c6ed030d18f2ff,good,fear
1612879392418.wav,01e350f0fba0babeb83ac84a4f5f5e22aada0f78dfd1804fa3de1985568fb6e1,good,sadness
1612879392418.wav,b2bf7455e63d99ee9db25bd7d20fbc7f4af1687f68286bba3ab68c223204d21a,good,fear
1612879392418.wav,55c3e8d6bdabffd36774b4e7539bee91b3ee406f46005e55d38a11d6d60618ad,good,fear
1612871109950.wav,b395b3d82da20e930e20220a5ab4de9adb9a12aaa7cecf17fc09d3a95b3edcb6,good,neutrality
1612871109950.wav,b3c7c357c77848765caaded035be8800169fb4dc53996f78ed5b0b24403427f4,good,neutrality
1612871109950.wav,3556cc81012660d467dd32a99d71ed778491a874ee16fd90bed4d6a54eeb5cec,good,neutrality
